"HomeTeam","AwayTeam","Date","Contest","HomeGoals","AwayGoals","HomeGoalsFull","AwayGoalsFull","ExtraTimePossible","HomeAdvantage"
"Azerbaijan","Moldova","2018-01-30","Friendly",0,0,0,0,0,0
"United States","Bosnia and Herzegovina","2018-01-28","Friendly",0,0,0,0,0,1
"South Korea","Moldova","2018-01-27","Friendly",1,0,1,0,0,0
"Indonesia","Iceland","2018-01-14","Friendly",1,4,1,4,0,1
"Finland","Jordan","2018-01-11","Friendly",2,1,2,1,0,0
"Estonia","Sweden","2018-01-07","Friendly",1,1,1,1,0,0
"Oman","United Arab Emirates","2018-01-05","Gulf Cup",0,0,0,0,0,0
"Iraq","United Arab Emirates","2018-01-02","Gulf Cup",0,0,0,0,0,0
"Oman","Bahrain","2018-01-02","Gulf Cup",1,0,1,0,0,0
"Iraq","Yemen","2017-12-29","Gulf Cup",3,0,3,0,0,0
"Bahrain","Qatar","2017-12-29","Gulf Cup",1,1,1,1,0,0
"Kuwait","United Arab Emirates","2017-12-28","Gulf Cup",0,0,0,0,0,1
"Oman","Saudi Arabia","2017-12-28","Gulf Cup",2,0,2,0,0,0
"Iraq","Qatar","2017-12-26","Gulf Cup",2,1,2,1,0,0
"Bahrain","Yemen","2017-12-26","Gulf Cup",1,0,1,0,0,0
"Saudi Arabia","United Arab Emirates","2017-12-25","Gulf Cup",0,0,0,0,0,0
"Jordan","Libya","2017-12-25","Friendly",1,1,1,1,0,1
"Kuwait","Oman","2017-12-25","Gulf Cup",0,1,0,1,0,1
"Bahrain","Iraq","2017-12-23","Gulf Cup",1,1,1,1,0,0
"Qatar","Yemen","2017-12-23","Gulf Cup",4,0,4,0,0,0
"United Arab Emirates","Oman","2017-12-22","Gulf Cup",1,0,1,0,0,0
"Kuwait","Saudi Arabia","2017-12-22","Gulf Cup",1,2,1,2,0,1
"Bahrain","Kuwait","2017-12-18","Friendly",0,0,0,0,0,1
"Kenya","Zanzibar","2017-12-17","CECAFA Cup",2,2,2,2,0,1
"United Arab Emirates","Iraq","2017-12-17","Friendly",1,0,1,0,0,1
"Uganda","Burundi","2017-12-17","CECAFA Cup",2,1,2,1,0,0
"Japan","South Korea","2017-12-16","East Asian Cup",1,4,1,4,0,1
"China","North Korea","2017-12-16","East Asian Cup",1,1,1,1,0,0
"Vanuatu","Solomon Islands","2017-12-15","Pacific Mini Games",3,2,3,2,0,1
"Zanzibar","Uganda","2017-12-15","CECAFA Cup",2,1,2,1,0,0
"Tuvalu","Tonga","2017-12-15","Pacific Mini Games",4,3,4,3,0,0
"Oman","Yemen","2017-12-15","Friendly",1,0,1,0,0,1
"Fiji","New Caledonia","2017-12-15","Pacific Mini Games",4,1,4,1,0,0
"Kenya","Burundi","2017-12-14","CECAFA Cup",1,0,1,0,0,1
"Qatar","Liechtenstein","2017-12-14","Friendly",1,2,1,2,0,1
"Vanuatu","Tuvalu","2017-12-12","Pacific Mini Games",10,0,10,0,0,1
"South Korea","North Korea","2017-12-12","East Asian Cup",1,0,1,0,0,0
"Japan","China","2017-12-12","East Asian Cup",2,1,2,1,0,1
"Solomon Islands","New Caledonia","2017-12-12","Pacific Mini Games",1,0,1,0,0,0
"Fiji","Tonga","2017-12-12","Pacific Mini Games",4,0,4,0,0,0
"Libya","Zanzibar","2017-12-11","CECAFA Cup",1,0,1,0,0,0
"South Sudan","Burundi","2017-12-11","CECAFA Cup",0,0,0,0,0,0
"Kenya","Tanzania","2017-12-11","CECAFA Cup",1,0,1,0,0,1
"Ethiopia","Uganda","2017-12-10","CECAFA Cup",1,1,1,1,0,0
"Vanuatu","Fiji","2017-12-09","Pacific Mini Games",1,1,1,1,0,1
"Kenya","Zanzibar","2017-12-09","CECAFA Cup",0,0,0,0,0,1
"Solomon Islands","Tuvalu","2017-12-09","Pacific Mini Games",6,0,6,0,0,0
"China","South Korea","2017-12-09","East Asian Cup",2,2,2,2,0,0
"Japan","North Korea","2017-12-09","East Asian Cup",1,0,1,0,0,1
"Rwanda","Tanzania","2017-12-09","CECAFA Cup",2,1,2,1,0,0
"New Caledonia","Tonga","2017-12-09","Pacific Mini Games",4,2,4,2,0,0
"Uganda","South Sudan","2017-12-08","CECAFA Cup",5,1,5,1,0,0
"Libya","Rwanda","2017-12-07","CECAFA Cup",0,0,0,0,0,0
"Zanzibar","Tanzania","2017-12-07","CECAFA Cup",2,1,2,1,0,0
"Burundi","Ethiopia","2017-12-07","CECAFA Cup",4,1,4,1,0,0
"Vanuatu","Tonga","2017-12-06","Pacific Mini Games",5,0,5,0,0,1
"Fiji","Solomon Islands","2017-12-06","Pacific Mini Games",0,0,0,0,0,0
"Zanzibar","Rwanda","2017-12-05","CECAFA Cup",3,1,3,1,0,0
"Tuvalu","New Caledonia","2017-12-05","Pacific Mini Games",2,1,2,1,0,0
