HomeTeam,AwayTeam,Date,Contest,HomeGoals,AwayGoals,HomeAdvantage,Youth
Uruguay,Peru,03/30/16,WOC-Q-South America,1,0,1,0
Venezuela,Chile,03/30/16,WOC-Q-South America,1,4,1,0
Colombia,Ecuador,03/29/16,WOC-Q-South America,3,1,1,0
Canada,Mexico,03/26/16,WOC-Q-North America,0,3,1,0
El Salvador,Honduras,03/26/16,WOC-Q-North America,2,2,1,0
Guatemala,United States,03/26/16,WOC-Q-North America,2,0,1,0
Haiti,Panama,03/26/16,WOC-Q-North America,0,0,1,0
Jamaica,Costa Rica,03/26/16,WOC-Q-North America,1,1,1,0
Brazil,Uruguay,03/26/16,WOC-Q-South America,2,2,1,0
Saint Vincent and the Grenadines,Trinidad and Tobago,03/25/16,WOC-Q-North America,2,3,1,0
Chile,Argentina,03/25/16,WOC-Q-South America,1,2,1,0
Peru,Venezuela,03/25/16,WOC-Q-South America,2,2,1,0
Bolivia,Colombia,03/24/16,WOC-Q-South America,2,3,1,0
Ecuador,Paraguay,03/24/16,WOC-Q-South America,2,2,1,0
El Salvador,Canada,11/18/15,WOC-Q-North America,0,0,1,0
Haiti,Jamaica,11/18/15,WOC-Q-North America,0,1,1,0
Panama,Costa Rica,11/18/15,WOC-Q-North America,1,2,1,0
Trinidad and Tobago,United States,11/18/15,WOC-Q-North America,0,0,1,0
Brazil,Peru,11/18/15,WOC-Q-South America,3,0,1,0
Paraguay,Bolivia,11/18/15,WOC-Q-South America,2,1,1,0
Uruguay,Chile,11/18/15,WOC-Q-South America,3,0,1,0
Denmark,Sweden,11/17/15,EUC-Q,2,2,1,0
Slovenia,Ukraine,11/17/15,EUC-Q,1,1,1,0
Honduras,Mexico,11/17/15,WOC-Q-North America,0,2,1,0
Saint Vincent and the Grenadines,Guatemala,11/17/15,WOC-Q-North America,0,4,1,0
Colombia,Argentina,11/17/15,WOC-Q-South America,0,1,1,0
Venezuela,Ecuador,11/17/15,WOC-Q-South America,1,3,1,0
Republic of Ireland,Bosnia-Herzegovina,11/16/15,EUC-Q,2,0,1,0
Hungary,Norway,11/15/15,EUC-Q,2,1,1,0
Sweden,Denmark,11/14/15,EUC-Q,2,1,1,0
Ukraine,Slovenia,11/14/15,EUC-Q,2,0,1,0
Canada,Honduras,11/14/15,WOC-Q-North America,1,0,1,0
Costa Rica,Haiti,11/14/15,WOC-Q-North America,1,0,1,0
